[07:00:42.042] |I| [load_app_impl]: ngs experimental state: true
[07:00:42.043] |I| [load_app_impl]: video player state: true
[07:00:42.043] |I| [load_app_impl]: auto-lle: enabled
[07:00:42.043] |I| [load_app_impl]: Title: Sly 2: Band of Thieves™
[07:00:42.043] |I| [load_app_impl]: Serial: PCSF00270
[07:00:42.043] |I| [load_app_impl]: Version: 1.00
[07:00:42.043] |I| [load_app_impl]: Category: gd
[07:00:42.097] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:00:42.097] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x0004E4B0 / 0x81000000] (size: 0x0004A4B0) of module app0:sce_module/libc.suprx
[07:00:42.097] |I| [load_self]: Loaded module segment 1 @ [0x0004F000 - 0x000516F4 / 0x8104B000] (size: 0x000026F4) of module app0:sce_module/libc.suprx
[07:00:42.097] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[07:00:42.098] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3AF30
[07:00:42.098] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x3EDF0, setting to stub value 0xDEADBEEF
[07:00:42.098] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x404A4, setting to stub value 0xDEADBEEF
[07:00:42.098] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[07:00:42.135] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:00:42.135] |I| [load_self]: Loaded module segment 0 @ [0x00054000 - 0x0006A01C / 0x81000000] (size: 0x0001601C) of module app0:sce_module/libface.suprx
[07:00:42.136] |I| [load_self]: Loaded module segment 1 @ [0x0006B000 - 0x0006B14C / 0x81017000] (size: 0x0000014C) of module app0:sce_module/libface.suprx
[07:00:42.136] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libface.suprx
[07:00:42.136] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x670C8
[07:00:42.136] |I| [pre_load_module]: Pre-load module SceFace (at "sce_module/libface.suprx") loaded
[07:00:42.177] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:00:42.177] |I| [load_self]: Loaded module segment 0 @ [0x0006C000 - 0x0009022C / 0x81000000] (size: 0x0002422C) of module app0:sce_module/libfios2.suprx
[07:00:42.178] |I| [load_self]: Loaded module segment 1 @ [0x00091000 - 0x000961A4 / 0x81025000] (size: 0x000051A4) of module app0:sce_module/libfios2.suprx
[07:00:42.178] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[07:00:42.178] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x88B70
[07:00:42.178] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[07:00:42.246] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:00:42.246] |I| [load_self]: Loaded module segment 0 @ [0x00097000 - 0x0028EE68 / 0x81000000] (size: 0x001F7E68) of module app0:sce_module/libsmart.suprx
[07:00:42.246] |I| [load_self]: Loaded module segment 1 @ [0x0028F000 - 0x00292734 / 0x811F8000] (size: 0x00003734) of module app0:sce_module/libsmart.suprx
[07:00:42.247] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libsmart.suprx
[07:00:42.247] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x13012C
[07:00:42.247] |I| [pre_load_module]: Pre-load module SceSmart (at "sce_module/libsmart.suprx") loaded
[07:00:42.268] |C| [load_self]: Unknown segment type 0x6FFFFF01
